STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,SEX,Sexe,AGE,Âge,TIME_HORIZ,Horizon temporel,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1950,,4632218,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1951,,4610074,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1952,,4580112,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1953,,4562398,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1954,,4571152,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1955,,4601864,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1956,,4623861,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1957,,4632609,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1958,,4636677,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1959,,4640307,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1960,,4632573,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1961,,4617111,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1962,,4615141,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1963,,4620297,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1964,,4618943,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1965,,4614607,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Données démographiques historiques,I,AUT,Autriche,POP,Population,PS,Personnes,_T,Total,Y15T64,De 15 à 64 ans,H,Historical,1966,,4613497,,A,Normal value,0,Units,0,Zero
